Assignment_ID,License_ID,Assignee_Type,User_ID,Asset_ID,Assignment_Start_Date,Assignment_End_Date,Assignment_Status,District_ID,School_ID
70076877,60000232,User,90006208,,2026-02-09,2029-02-09,Active,2104,
70076878,60000233,User,90005442,,2026-02-28,2027-02-28,Active,2104,
70076879,60000233,User,90005995,,2026-02-14,2027-02-14,Active,2104,
70076880,60000233,User,90006617,,2026-02-16,2027-02-16,Active,2104,
70076881,60000233,User,90005526,,2026-02-24,2027-02-24,Active,2104,
70076882,60000233,User,90006343,,2026-02-11,2027-02-11,Active,2104,
70076883,60000233,User,90005903,,2026-02-20,2027-02-20,Active,2104,
70076884,60000233,User,90005558,,2026-02-08,2027-02-08,Active,2104,
70076885,60000233,User,90006645,,2026-02-21,2027-02-21,Active,2104,
70076886,60000233,User,90005966,,2026-02-20,2027-02-20,Active,2104,
70076887,60000233,User,90006646,,2026-02-25,2027-02-25,Active,2104,
70076888,60000233,User,90006011,,2026-02-19,2027-02-19,Active,2104,
70076889,60000233,User,90006787,,2026-02-26,2027-02-26,Active,2104,
70076890,60000233,User,90006488,,2026-02-12,2027-02-12,Active,2104,
70076891,60000233,User,90005570,,2026-02-07,2027-02-07,Active,2104,
70076892,60000233,User,90005662,,2026-02-25,2027-02-25,Active,2104,
70076893,60000233,User,90005475,,2026-02-16,2027-02-16,Active,2104,
70076894,60000233,User,90006478,,2026-02-26,2027-02-26,Active,2104,
70076895,60000233,User,90006070,,2026-02-08,2027-02-08,Active,2104,
70076896,60000233,User,90005367,,2026-02-24,2027-02-24,Active,2104,
70076897,60000233,User,90005492,,2026-02-13,2027-02-13,Active,2104,
70076898,60000233,User,90006689,,2026-02-11,2027-02-11,Active,2104,
70076899,60000233,User,90005712,,2026-02-08,2027-02-08,Active,2104,
70076900,60000233,User,90006228,,2026-02-21,2027-02-21,Active,2104,
70076901,60000233,User,90006564,,2026-02-25,2027-02-25,Active,2104,
70076902,60000233,User,90005652,,2026-02-13,2027-02-13,Active,2104,
70076903,60000233,User,90006018,,2026-02-20,2027-02-20,Active,2104,
70076904,60000233,User,90006474,,2026-02-23,2027-02-23,Active,2104,
70076905,60000233,User,90006544,,2026-02-16,2027-02-16,Active,2104,
70076906,60000233,User,90005457,,2026-02-16,2027-02-16,Active,2104,
70076907,60000233,User,90005574,,2026-02-19,2027-02-19,Active,2104,
70076908,60000233,User,90005650,,2026-02-24,2027-02-24,Active,2104,
70076909,60000233,User,90006749,,2026-02-23,2027-02-23,Active,2104,
70076910,60000233,User,90006049,,2026-02-19,2027-02-19,Active,2104,
70076911,60000233,User,90005444,,2026-02-28,2027-02-28,Active,2104,
70076912,60000233,User,90006518,,2026-02-07,2027-02-07,Active,2104,
70076913,60000233,User,90006079,,2026-02-08,2027-02-08,Active,2104,
70076914,60000233,User,90005776,,2026-02-16,2027-02-16,Active,2104,
70076915,60000233,User,90006546,,2026-02-12,2027-02-12,Active,2104,
70076916,60000233,User,90006342,,2026-02-09,2027-02-09,Active,2104,
70076917,60000233,User,90006013,,2026-02-11,2027-02-11,Active,2104,
70076918,60000233,User,90006785,,2026-02-26,2027-02-26,Active,2104,
70076919,60000233,User,90006234,,2026-02-21,2027-02-21,Active,2104,
70076920,60000233,User,90005572,,2026-02-13,2027-02-13,Active,2104,
70076921,60000233,User,90005724,,2026-02-10,2027-02-10,Active,2104,
70076922,60000233,User,90005344,,2026-02-14,2027-02-14,Active,2104,
70076923,60000233,User,90006113,,2026-02-26,2027-02-26,Active,2104,
70076924,60000233,User,90005539,,2026-02-15,2027-02-15,Active,2104,
