PO_ID,Line_Number,Item_Class,Item_Family,ItemType,Manufacturer,Item_Family_Name,Quantity,Unit_MSRP,Unit_Negotiated,Total_Spend,Total_Savings,Warranty_Years,Warranty_End_Date_Line,Term_Months,Subscription_End_Date,Contract_ID,School_ID,School_Name,District_ID,District_Name,BOCES_Region
91000737,1,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.00,1.00,1.00,0.00,,,36.0,2029-04-25,CT-88000323,,,2130,Erie_CSD_2130,Erie 1 BOCES
91000737,2,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,38,5260.45,3892.07,147898.80,51998.37,5.0,2031-04-25,,,CT-88000371,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES
91000737,3,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,71,2482.07,1699.81,120686.23,55540.39,3.0,2029-04-25,,,CT-88000320,5188.0,STEM Elementary School,2130,Erie_CSD_2130,Erie 1 BOCES
91000737,4,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,1342,1.00,1.00,1342.00,0.00,,,12.0,2027-04-25,CT-88000374,,,2130,Erie_CSD_2130,Erie 1 BOCES
91000738,1,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,141,1.00,1.00,141.00,0.00,,,36.0,2029-04-04,CT-88000375,,,2118,Capital_CSD_2118,Capital Region BOCES
91000738,2,Hardware,Printing,Printer,HP,LaserJet Pro M404dn,14,1446.83,1223.95,17135.29,3120.40,3.0,2029-04-04,,,CT-88000196,5152.0,Heights Elementary School,2118,Capital_CSD_2118,Capital Region BOCES
91000738,3,Hardware,Infrastructure,Server,Dell,PowerEdge R650,5,189.61,138.86,694.29,253.75,3.0,2029-04-04,,,CT-88000195,5153.0,Central Middle School,2118,Capital_CSD_2118,Capital Region BOCES
91000738,4,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,136,1.02,1.02,138.69,0.00,,,36.0,2029-04-04,CT-88000188,,,2118,Capital_CSD_2118,Capital Region BOCES
91000739,1,Hardware,Endpoint,Laptop,Dell,ThinkPad T14 Gen 4,84,4339.94,3154.10,264944.06,99611.26,4.0,2030-04-19,,,CT-88000373,5140.0,Central Elementary School,2114,Questar_CSD_2114,Questar III BOCES
91000739,2,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,156,1.02,1.02,159.63,0.00,,,36.0,2029-04-19,CT-88000144,,,2114,Questar_CSD_2114,Questar III BOCES
91000739,3,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.03,1.03,1.03,0.00,,,36.0,2029-04-19,CT-88000147,,,2114,Questar_CSD_2114,Questar III BOCES
