PO_ID,PO_Number,PO_Date,Vendor_Name,Funding_Source,District_ID,District_Name,BOCES_Region
91000737,PO-512034,2026-04-25,CDW-G,General Fund,2130,Erie_CSD_2130,Erie 1 BOCES
91000738,PO-624845,2026-04-04,Connection,General Fund,2118,Capital_CSD_2118,Capital Region BOCES
91000739,PO-880116,2026-04-19,CDW-G,General Fund,2114,Questar_CSD_2114,Questar III BOCES
91000740,PO-375574,2026-04-13,Connection,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000741,PO-415424,2026-04-14,CDW-G,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000742,PO-338444,2026-04-10,SHI,Grant,2101,Southern_CSD_2101,Southern Westchester BOCES
91000743,PO-393891,2026-04-26,SHI,Grant,2103,Southern_CSD_2103,Southern Westchester BOCES
91000744,PO-453833,2026-04-26,CDW-G,General Fund,2107,Lower_CSD_2107,Lower Hudson Valley BOCES
91000745,PO-150358,2026-04-30,CDW-G,General Fund,2108,Lower_CSD_2108,Lower Hudson Valley BOCES
91000746,PO-683462,2026-04-08,Ingram Micro,E-Rate,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000747,PO-767383,2026-04-14,CDW-G,Grant,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000748,PO-686494,2026-04-04,CDW-G,Grant,2103,Southern_CSD_2103,Southern Westchester BOCES
91000749,PO-685096,2026-04-14,CDW-G,General Fund,2115,Questar_CSD_2115,Questar III BOCES
91000750,PO-256997,2026-04-07,Connection,General Fund,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000751,PO-565920,2026-04-18,Ingram Micro,E-Rate,2120,Capital_CSD_2120,Capital Region BOCES
91000752,PO-350641,2026-04-17,CDW-G,General Fund,2118,Capital_CSD_2118,Capital Region BOCES
91000753,PO-666544,2026-04-15,Connection,Grant,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000754,PO-637787,2026-04-22,SHI,Grant,2115,Questar_CSD_2115,Questar III BOCES
91000755,PO-774277,2026-04-18,SHI,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000756,PO-408461,2026-04-27,SHI,Grant,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000757,PO-506831,2026-04-24,CDW-G,General Fund,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000758,PO-263867,2026-04-14,SHI,E-Rate,2129,Erie_CSD_2129,Erie 1 BOCES
91000759,PO-245242,2026-04-12,Connection,General Fund,2117,Capital_CSD_2117,Capital Region BOCES
91000760,PO-559732,2026-04-18,Apple Education,General Fund,2132,Erie_CSD_2132,Erie 1 BOCES
91000761,PO-608884,2026-04-27,CDW-G,General Fund,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES
91000762,PO-431320,2026-04-30,CDW-G,General Fund,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES
91000763,PO-101063,2026-04-16,SHI,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000764,PO-951508,2026-04-27,CDW-G,General Fund,2101,Southern_CSD_2101,Southern Westchester BOCES
91000765,PO-564779,2026-04-02,Connection,E-Rate,2102,Southern_CSD_2102,Southern Westchester BOCES
91000766,PO-697562,2026-04-08,CDW-G,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000767,PO-734064,2026-04-09,CDW-G,General Fund,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000768,PO-192416,2026-04-05,Ingram Micro,General Fund,2129,Erie_CSD_2129,Erie 1 BOCES
