PO_ID,Line_Number,Item_Class,Item_Family,ItemType,Manufacturer,Item_Family_Name,Quantity,Unit_MSRP,Unit_Negotiated,Total_Spend,Total_Savings,Warranty_Years,Warranty_End_Date_Line,Term_Months,Subscription_End_Date,Contract_ID,School_ID,School_Name,District_ID,District_Name,BOCES_Region
91000641,1,Hardware,Infrastructure,Server,Dell,PowerEdge R650,8,5074.60,4266.11,34128.86,6467.91,3.0,2029-01-11,,,CT-88000355,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000641,2,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,1242,1.05,1.05,1303.19,0.00,,,12.0,2027-01-11,CT-88000101,,,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000641,3,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,29,3701.84,3211.97,93147.14,14206.09,5.0,2031-01-11,,,CT-88000100,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000641,4,Hardware,Endpoint,Laptop,Dell,EliteBook 840 G9,79,2011.43,1577.24,124601.83,34301.46,4.0,2030-01-11,,,CT-88000107,5130.0,Tech Elementary School,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000642,1,License,MDM,Jamf School,Jamf,JAMF-SCH,205,1.02,1.02,208.44,0.00,,,12.0,2027-01-16,CT-88000160,,,2115,Questar_CSD_2115,Questar III BOCES
91000642,2,Hardware,Endpoint,Laptop,Lenovo,Latitude 5440,150,292.88,224.44,33665.96,10266.09,4.0,2030-01-16,,,CT-88000164,5143.0,North Middle School,2115,Questar_CSD_2115,Questar III BOCES
91000643,1,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,222,1.02,1.02,227.42,0.00,,,36.0,2029-01-31,CT-88000243,,,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000643,2,License,MDM,Jamf School,Jamf,JAMF-SCH,219,1.02,1.02,222.94,0.00,,,12.0,2027-01-31,CT-88000248,,,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000643,3,Hardware,Endpoint,Laptop,Lenovo,EliteBook 840 G9,29,3808.26,2716.61,78781.58,31658.08,4.0,2030-01-31,,,CT-88000252,5168.0,South Tech Center,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000643,4,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,2387,1.03,1.03,2454.48,0.00,,,12.0,2027-01-31,CT-88000354,,,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000643,5,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,63,627.29,532.09,33521.71,5997.28,5.0,2031-01-31,,,CT-88000243,5169.0,North Elementary School,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000644,1,Hardware,Display,Monitor,Dell,U2722D,43,5327.58,3541.34,152277.76,76808.20,3.0,2029-01-23,,,CT-88000030,5109.0,South Elementary School,2103,Southern_CSD_2103,Southern Westchester BOCES
91000644,2,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,80,4970.37,3779.77,302381.95,95247.75,3.0,2029-01-23,,,CT-88000353,5108.0,East Admin Building,2103,Southern_CSD_2103,Southern Westchester BOCES
91000644,3,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,48,5179.22,4675.47,224422.66,24180.13,5.0,2031-01-23,,,CT-88000356,5109.0,South Elementary School,2103,Southern_CSD_2103,Southern Westchester BOCES
91000644,4,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,31,1846.47,1373.53,42579.34,14661.20,3.0,2029-01-23,,,CT-88000023,5109.0,South Elementary School,2103,Southern_CSD_2103,Southern Westchester BOCES
91000644,5,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.04,1.04,1.04,0.00,,,36.0,2029-01-23,CT-88000026,,,2103,Southern_CSD_2103,Southern Westchester BOCES
91000645,1,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,4,4464.51,3609.99,14439.94,3418.10,5.0,2031-01-18,,,CT-88000298,5184.0,North Elementary School,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000645,2,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,33,4099.12,3238.17,106859.70,28411.25,5.0,2031-01-18,,,CT-88000298,5182.0,STEM Admin Building,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000645,3,Hardware,Endpoint,Laptop,Lenovo,ThinkPad T14 Gen 4,193,1000.55,791.44,152748.31,40358.57,4.0,2030-01-18,,,CT-88000307,5184.0,North Elementary School,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000646,1,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,87,795.55,603.74,52525.05,16687.51,5.0,2031-01-12,,,,5104.0,South Middle School,2102,Southern_CSD_2102,Southern Westchester BOCES
91000646,2,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.01,1.01,1.01,0.00,,,12.0,2027-01-12,CT-88000016,,,2102,Southern_CSD_2102,Southern Westchester BOCES
91000646,3,Hardware,Telephony,VoIP Phone,Poly,Poly VVX 350,20,3091.58,2638.29,52765.77,9065.89,3.0,2029-01-12,,,,5106.0,Central Elementary School,2102,Southern_CSD_2102,Southern Westchester BOCES
91000647,1,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.05,1.05,1.05,0.00,,,12.0,2027-01-26,CT-88000181,,,2117,Capital_CSD_2117,Capital Region BOCES
91000647,2,License,Security,CrowdStrike Falcon,CrowdStrike,CS-FALCON,1789,1.01,1.01,1799.70,0.00,,,12.0,2027-01-26,CT-88000354,,,2117,Capital_CSD_2117,Capital Region BOCES
91000647,3,Hardware,Endpoint,Laptop,Dell,Latitude 5440,123,3125.17,2638.67,324556.01,59840.30,4.0,2030-01-26,,,CT-88000353,5151.0,Central High School,2117,Capital_CSD_2117,Capital Region BOCES
91000647,4,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,76,3260.38,2643.76,200925.86,46863.19,5.0,2031-01-26,,,,5149.0,East High School,2117,Capital_CSD_2117,Capital Region BOCES
91000648,1,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,61,3617.90,3129.46,190896.93,29794.67,3.0,2029-01-01,,,CT-88000354,5116.0,Ridge Admin Building,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000648,2,Hardware,Security,Firewall,Fortinet,FortiGate 100F,2,1541.31,1332.47,2664.94,417.68,3.0,2029-01-01,,,CT-88000062,5117.0,Ridge Elementary School #1,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000648,3,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.05,1.05,1.05,0.00,,,12.0,2027-01-01,CT-88000355,,,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000649,1,Hardware,Infrastructure,Server,HPE,PowerEdge R650,2,1323.81,1091.28,2182.55,465.07,3.0,2029-01-30,,,CT-88000209,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES
91000649,2,Hardware,Endpoint,Laptop,Lenovo,ThinkPad T14 Gen 4,143,3256.87,2801.44,400605.33,65127.25,4.0,2030-01-30,,,CT-88000354,5155.0,Central High School,2119,Capital_CSD_2119,Capital Region BOCES
91000649,3,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,29,4368.69,3006.83,87197.97,39494.13,5.0,2031-01-30,,,CT-88000356,5155.0,Central High School,2119,Capital_CSD_2119,Capital Region BOCES
91000650,1,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,86,2944.61,2533.63,217891.79,35344.45,5.0,2031-01-10,,,CT-88000354,5167.0,Ridge High School,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000650,2,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,60,592.00,543.09,32585.69,2934.33,3.0,2029-01-10,,,CT-88000243,5169.0,North Elementary School,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000650,3,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.00,1.00,1.00,0.00,,,36.0,2029-01-10,CT-88000246,,,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000650,4,Hardware,Endpoint,Laptop,Lenovo,ThinkPad T14 Gen 4,133,4812.18,3814.43,507319.02,132700.70,4.0,2030-01-10,,,CT-88000252,5168.0,South Tech Center,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000651,1,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.04,1.04,1.04,0.00,,,36.0,2029-01-01,CT-88000345,,,2132,Erie_CSD_2132,Erie 1 BOCES
91000651,2,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.00,1.00,1.00,0.00,,,12.0,2027-01-01,CT-88000346,,,2132,Erie_CSD_2132,Erie 1 BOCES
