PO_ID,PO_Number,PO_Date,Vendor_Name,Funding_Source,District_ID,District_Name,BOCES_Region
91000641,PO-396493,2026-01-11,SHI,Federal Program,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000642,PO-405800,2026-01-16,CDW-G,General Fund,2115,Questar_CSD_2115,Questar III BOCES
91000643,PO-567683,2026-01-31,SHI,General Fund,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000644,PO-400158,2026-01-23,SHI,Federal Program,2103,Southern_CSD_2103,Southern Westchester BOCES
91000645,PO-606671,2026-01-18,Apple Education,E-Rate,2128,St._CSD_2128,St. Lawrence-Lewis BOCES
91000646,PO-859089,2026-01-12,Connection,Federal Program,2102,Southern_CSD_2102,Southern Westchester BOCES
91000647,PO-958045,2026-01-26,Connection,General Fund,2117,Capital_CSD_2117,Capital Region BOCES
91000648,PO-475678,2026-01-01,SHI,General Fund,2106,Lower_CSD_2106,Lower Hudson Valley BOCES
91000649,PO-935492,2026-01-30,CDW-G,Federal Program,2119,Capital_CSD_2119,Capital Region BOCES
91000650,PO-446486,2026-01-10,CDW-G,Federal Program,2123,JeffersonLewis_CSD_2123,Jefferson-Lewis BOCES
91000651,PO-752330,2026-01-01,CDW-G,E-Rate,2132,Erie_CSD_2132,Erie 1 BOCES
91000652,PO-225137,2026-01-18,CDW-G,General Fund,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES
91000653,PO-521480,2026-01-22,CDW-G,General Fund,2104,Southern_CSD_2104,Southern Westchester BOCES
91000654,PO-210211,2026-01-14,CDW-G,Grant,2125,St._CSD_2125,St. Lawrence-Lewis BOCES
91000655,PO-366027,2026-01-25,Connection,Grant,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000656,PO-406352,2026-01-06,Connection,E-Rate,2102,Southern_CSD_2102,Southern Westchester BOCES
91000657,PO-886567,2026-01-09,Ingram Micro,Grant,2131,Erie_CSD_2131,Erie 1 BOCES
91000658,PO-995202,2026-01-24,CDW-G,General Fund,2115,Questar_CSD_2115,Questar III BOCES
91000659,PO-603437,2026-01-21,SHI,E-Rate,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000660,PO-669071,2026-01-22,CDW-G,Grant,2109,DutchessUlster_CSD_2109,Dutchess-Ulster BOCES
91000661,PO-835879,2026-01-02,CDW-G,General Fund,2130,Erie_CSD_2130,Erie 1 BOCES
91000662,PO-603991,2026-01-13,CDW-G,General Fund,2102,Southern_CSD_2102,Southern Westchester BOCES
91000663,PO-309366,2026-01-19,CDW-G,E-Rate,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000664,PO-408189,2026-01-10,CDW-G,General Fund,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000665,PO-500841,2026-01-23,SHI,Grant,2105,Lower_CSD_2105,Lower Hudson Valley BOCES
91000666,PO-837967,2026-01-17,CDW-G,E-Rate,2131,Erie_CSD_2131,Erie 1 BOCES
91000667,PO-153661,2026-01-04,Connection,General Fund,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
91000668,PO-805393,2026-01-31,CDW-G,General Fund,2118,Capital_CSD_2118,Capital Region BOCES
91000669,PO-580831,2026-01-31,SHI,Grant,2122,JeffersonLewis_CSD_2122,Jefferson-Lewis BOCES
91000670,PO-670315,2026-01-13,Ingram Micro,E-Rate,2119,Capital_CSD_2119,Capital Region BOCES
91000671,PO-539091,2026-01-22,Ingram Micro,E-Rate,2132,Erie_CSD_2132,Erie 1 BOCES
91000672,PO-504401,2026-01-29,CDW-G,E-Rate,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
