PO_ID,Line_Number,Item_Class,Item_Family,ItemType,Manufacturer,Item_Family_Name,Quantity,Unit_MSRP,Unit_Negotiated,Total_Spend,Total_Savings,Warranty_Years,Warranty_End_Date_Line,Term_Months,Subscription_End_Date,Contract_ID,School_ID,School_Name,District_ID,District_Name,BOCES_Region
91000705,1,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.03,1.03,1.03,0.00,,,12.0,2027-03-12,CT-88000365,,,2119,Capital_CSD_2119,Capital Region BOCES
91000705,2,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,3,4068.95,3341.11,10023.33,2183.51,5.0,2031-03-12,,,CT-88000368,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES
91000705,3,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,232,1.03,1.03,239.53,0.00,,,36.0,2029-03-12,CT-88000199,,,2119,Capital_CSD_2119,Capital Region BOCES
91000705,4,Hardware,Display,Monitor,Dell,P2422H,119,557.62,389.63,46365.80,19991.56,3.0,2029-03-12,,,CT-88000206,5157.0,Tech Tech Center,2119,Capital_CSD_2119,Capital Region BOCES
91000705,5,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,96,1102.24,980.20,94099.51,11715.26,5.0,2031-03-12,,,,5156.0,Valley Elementary School,2119,Capital_CSD_2119,Capital Region BOCES
91000706,1,License,Security,CrowdStrike Falcon,CrowdStrike,CS-FALCON,1194,1.00,1.00,1194.00,0.00,,,12.0,2027-03-14,CT-88000289,,,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000706,2,Hardware,Endpoint,Laptop,HP,EliteBook 840 G9,91,741.19,650.49,59194.19,8254.24,4.0,2030-03-14,,,CT-88000368,5179.0,Central High School,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000706,3,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,1367,1.01,1.01,1377.88,0.00,,,12.0,2027-03-14,CT-88000288,,,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000706,4,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,37,4935.02,3671.99,135863.53,46732.13,3.0,2029-03-14,,,CT-88000363,5181.0,Tech Tech Center,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000706,5,Hardware,Display,Monitor,Dell,P2422H,93,2012.58,1619.74,150635.97,36534.25,3.0,2029-03-14,,,CT-88000294,5179.0,Central High School,2127,St._CSD_2127,St. Lawrence-Lewis BOCES
91000707,1,Hardware,Endpoint,Laptop,Lenovo,ThinkPad T14 Gen 4,108,5170.05,3940.35,425557.80,132807.50,4.0,2030-03-14,,,CT-88000318,5186.0,Tech Elementary School,2129,Erie_CSD_2129,Erie 1 BOCES
91000707,2,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,55,4512.37,3200.35,176019.07,72161.03,3.0,2029-03-14,,,CT-88000362,5187.0,Heights Elementary School,2129,Erie_CSD_2129,Erie 1 BOCES
91000708,1,Hardware,Endpoint,Laptop,HP,Latitude 5440,63,2543.78,2130.65,134230.78,26027.20,4.0,2030-03-11,,,CT-88000363,5163.0,Central High School,2121,JeffersonLewis_CSD_2121,Jefferson-Lewis BOCES
91000708,2,Hardware,Printing,Printer,HP,LaserJet Enterprise M506dn,2,4288.72,3330.62,6661.24,1916.21,3.0,2029-03-11,,,CT-88000229,5163.0,Central High School,2121,JeffersonLewis_CSD_2121,Jefferson-Lewis BOCES
91000708,3,Hardware,Endpoint,Laptop,Lenovo,Latitude 5440,117,4573.37,3912.74,457791.10,77292.80,4.0,2030-03-11,,,CT-88000230,5163.0,Central High School,2121,JeffersonLewis_CSD_2121,Jefferson-Lewis BOCES
91000709,1,Hardware,Endpoint,Laptop,Lenovo,ThinkPad T14 Gen 4,151,1380.45,1058.50,159833.25,48614.68,4.0,2030-03-03,,,CT-88000175,5148.0,STEM Admin Building,2116,Questar_CSD_2116,Questar III BOCES
91000709,2,License,Telephony,VoIP SIP Trunk,Bandwidth,SIP-TRUNK,1,1.02,1.02,1.02,0.00,,,12.0,2027-03-03,CT-88000367,,,2116,Questar_CSD_2116,Questar III BOCES
91000709,3,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,672,1.00,1.00,673.27,0.00,,,12.0,2027-03-03,CT-88000167,,,2116,Questar_CSD_2116,Questar III BOCES
91000709,4,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.03,1.03,1.03,0.00,,,36.0,2029-03-03,CT-88000169,,,2116,Questar_CSD_2116,Questar III BOCES
91000710,1,Hardware,Endpoint,Laptop,Dell,Latitude 5440,43,1164.90,843.85,36285.64,13804.85,4.0,2030-03-11,,,CT-88000316,5187.0,Heights Elementary School,2129,Erie_CSD_2129,Erie 1 BOCES
91000710,2,Hardware,Endpoint,Laptop,Lenovo,EliteBook 840 G9,67,223.87,152.74,10233.80,4765.81,4.0,2030-03-11,,,CT-88000318,5187.0,Heights Elementary School,2129,Erie_CSD_2129,Erie 1 BOCES
91000711,1,License,Networking,Cisco Meraki License (AP),Cisco,MR-ENT,146,1.04,1.04,152.51,0.00,,,36.0,2029-03-03,CT-88000364,,,2115,Questar_CSD_2115,Questar III BOCES
91000711,2,Hardware,Endpoint,Laptop,HP,EliteBook 840 G9,99,4710.10,3599.11,356311.62,109988.70,4.0,2030-03-03,,,CT-88000163,5145.0,Ridge Elementary School,2115,Questar_CSD_2115,Questar III BOCES
91000711,3,Hardware,Display,Monitor,Dell,P2722H,58,4698.97,3338.73,193646.16,78894.09,3.0,2029-03-03,,,CT-88000362,5144.0,South Elementary School,2115,Questar_CSD_2115,Questar III BOCES
91000711,4,Hardware,Printing,Printer,HP,LaserJet Enterprise M506dn,14,2477.93,1840.22,25763.09,8927.92,3.0,2029-03-03,,,CT-88000163,5145.0,Ridge Elementary School,2115,Questar_CSD_2115,Questar III BOCES
91000711,5,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,31,1366.94,1260.32,39069.84,3305.16,5.0,2031-03-03,,,,5143.0,North Middle School,2115,Questar_CSD_2115,Questar III BOCES
91000712,1,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,37,1471.17,998.12,36930.34,17503.09,3.0,2029-03-10,,,CT-88000362,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000712,2,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,1233,1.01,1.01,1249.85,0.00,,,12.0,2027-03-10,CT-88000101,,,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000712,3,License,Infrastructure,Veeam Backup & Replication,Veeam,VEEAM-VUL,1,1.02,1.02,1.02,0.00,,,36.0,2029-03-10,CT-88000103,,,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES
91000713,1,License,Productivity,Microsoft 365 A3,Microsoft,M365-A3,1485,1.04,1.04,1541.23,0.00,,,12.0,2027-03-08,CT-88000277,,,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000713,2,License,MDM,Jamf School,Jamf,JAMF-SCH,156,1.00,1.00,156.00,0.00,,,12.0,2027-03-08,CT-88000366,,,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000713,3,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,112,1279.58,979.86,109744.68,33568.73,5.0,2031-03-08,,,CT-88000276,5178.0,Tech Elementary School,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000713,4,License,Security,CrowdStrike Falcon,CrowdStrike,CS-FALCON,818,1.04,1.04,854.81,0.00,,,12.0,2027-03-08,CT-88000278,,,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000713,5,Hardware,Endpoint,Laptop,Dell,ThinkPad T14 Gen 4,81,4469.40,3181.50,257701.77,104319.96,4.0,2030-03-08,,,CT-88000283,5177.0,Valley Admin Building,2126,St._CSD_2126,St. Lawrence-Lewis BOCES
91000714,1,Hardware,Networking,Network Switch,Cisco,Catalyst 9300-48P,4,786.67,602.10,2408.41,738.26,5.0,2031-03-22,,,CT-88000363,5109.0,South Elementary School,2103,Southern_CSD_2103,Southern Westchester BOCES
91000714,2,Hardware,Printing,Printer,HP,LaserJet Pro M404dn,16,1398.03,1203.60,19257.61,3110.81,3.0,2029-03-22,,,CT-88000031,5108.0,East Admin Building,2103,Southern_CSD_2103,Southern Westchester BOCES
91000714,3,Hardware,Endpoint,Laptop,Dell,Latitude 5440,32,1208.94,860.01,27520.23,11165.69,4.0,2030-03-22,,,CT-88000362,5109.0,South Elementary School,2103,Southern_CSD_2103,Southern Westchester BOCES
91000715,1,Hardware,Endpoint,Laptop,Lenovo,EliteBook 840 G9,138,1348.17,889.06,122689.68,63357.56,4.0,2030-03-26,,,CT-88000366,5139.0,South Elementary School,2113,Questar_CSD_2113,Questar III BOCES
91000715,2,Hardware,Networking,Network Switch,Cisco,Catalyst 9200-48P,10,3797.56,3046.37,30463.69,7511.90,5.0,2031-03-26,,,CT-88000368,5137.0,Ridge Middle School,2113,Questar_CSD_2113,Questar III BOCES
91000715,3,Hardware,Endpoint,Laptop,Lenovo,Latitude 5440,26,1013.13,831.42,21616.79,4724.55,4.0,2030-03-26,,,CT-88000363,5139.0,South Elementary School,2113,Questar_CSD_2113,Questar III BOCES
91000715,4,Hardware,Telephony,VoIP Phone,Cisco,Cisco 8841,71,4663.93,4028.12,285996.60,45142.58,3.0,2029-03-26,,,CT-88000133,5137.0,Ridge Middle School,2113,Questar_CSD_2113,Questar III BOCES
91000716,1,Hardware,Display,Monitor,Dell,P2422H,78,445.49,313.72,24470.26,10277.59,3.0,2029-03-01,,,CT-88000364,5175.0,Ridge High School,2125,St._CSD_2125,St. Lawrence-Lewis BOCES
91000716,2,Hardware,Endpoint,Laptop,Dell,EliteBook 840 G9,57,2362.25,2080.25,118574.07,16074.09,4.0,2030-03-01,,,CT-88000272,5175.0,Ridge High School,2125,St._CSD_2125,St. Lawrence-Lewis BOCES
91000716,3,Hardware,Networking,Network Switch,Cisco,Catalyst 9300-48P,19,4182.03,3615.71,68698.43,10760.20,5.0,2031-03-01,,,CT-88000265,5174.0,West Elementary School,2125,St._CSD_2125,St. Lawrence-Lewis BOCES
91000717,1,Hardware,Networking,Wireless Access Point,Aruba,Aruba 515,51,1349.12,1167.38,59536.19,9268.89,5.0,2031-03-21,,,,5134.0,North High School,2112,DutchessUlster_CSD_2112,Dutchess-Ulster BOCES
